Name,publication year,wl [nm],bw [%],avg contrast,rmin [l/D],rmax [l/D],IWA [l/D],inner contrast,testbed,architecture,pupil,dynamics,DMs,Field Shape,Field area [(l/D)^2],reference
Seo et al 2019,2019,550,10,3.82E-10,3,8,3,5.00E-10,HCIT,Lyot,clear,static,2 AOX,annulus,173,https://doi.org/10.1117/12.2530033
Trauger et al 2012,2012,800,2,2.25E-10,3,15,2.5,3.42E-10,HCIT,Hybrid Lyot,clear,static,1 AOX,D,262.2,https://doi.org/10.1117/12.926663
Trauger et al 2012,2012,800,10,6.14E-10,3,15,2.5,6.72E-10,HCIT,Hybrid Lyot,clear,static,1 AOX,D,262.2,https://doi.org/10.1117/12.926663
Trauger et al 2012,2012,800,20,1.79E-09,3,15,2.5,2.30E-09,HCIT,Hybrid Lyot,clear,static,1 AOX,D,262.2,https://doi.org/10.1117/12.926663
Mawet et al 2011,2011,785,0,3.40E-09,2.5,12,2.5,1.00E-08,HCIT,Vortex 4,clear,static,1 AOX,D,165.3,https://doi.org/10.1117/12.896070
Mawet et al 2011,2011,785,10,2.60E-08,2.5,7,2.5,4.50E-08,HCIT,Vortex 4,clear,static,1 AOX,D,40.5,https://doi.org/10.1117/12.896070
Serabyn et al 2013,2013,785,0,4.10E-10,3,8,3,8.00E-10,HCIT,Vortex 4,clear,static,1 AOX,D,50.2,https://doi.org/10.1117/12.2024660
Serabyn et al 2013,2013,785,0,5.10E-10,2,7,2,1.70E-09,HCIT,Vortex 4,clear,static,1 AOX,D,48.2,https://doi.org/10.1117/12.2024660
Serabyn et al 2013,2013,785,10,1.10E-08,3,8,3,,HCIT,Vortex 4,clear,static,1 AOX,D,50.2,https://doi.org/10.1117/12.2024660
Serabyn et al 2019,2019,575,10,8.50E-09,3,8,3,,HCIT,Vortex 4,clear,static,1 BMC,D,50.2,https://doi.org/10.1364/josab.36.000d13
Ruane et al 2022,2022,635,10,1.60E-09,3,10,3,,HCIT,Vortex 4,clear,static,2 AOX,D,95.3,https://doi.org/10.1117/12.2628972
Ruane et al 2022,2022,635,20,5.90E-09,3,10,3,,HCIT,Vortex 4,clear,static,2 AOX,D,95.3,https://doi.org/10.1117/12.2628972
Riggs et al 2022,2022,650,10,3.20E-09,3,10,3,,HCIT,Vortex 4,clear,static,1 BMC,D,95.3,https://doi.org/10.1117/12.2630130
Riggs et al 2022,2022,650,10,4.70E-09,3,10,3,,HCIT,Vortex 4,"segmented, off-axis",static,1 BMC,D,95.3,https://doi.org/10.1117/12.2630130
Riggs et al 2022,2022,637,0,3.60E-10,3,10,3,,HCIT,Vortex 4,clear,static,1 BMC,D,95.3,https://doi.org/10.1117/12.2630130
Riggs et al 2022,2022,637,0,3.60E-10,3,10,3,,HCIT,Vortex 4,"segmented, off-axis",static,1 BMC,D,95.3,https://doi.org/10.1117/12.2630130
